treated,period,price_band,sales,sale_value,mean_price,apartment_share,mean_building_sqft,mean_age,sale_share,contribution_to_mean
0,2008-2012,0-50,1581,59310460.3579376,37514.5226805425,0.485135989879823,1803.74636306135,94.8140417457306,0.500791891035794,18786.968754494
0,2008-2012,50-75,787,106578326.092083,135423.540142418,0.442185514612452,2069.62388818297,89.8259212198221,0.249287298067786,33759.3684168778
0,2008-2012,75-95,629,222713805.037398,354076.001649282,0.543720190779014,2424.38314785374,88.5866454689984,0.199239784605638,70546.0263026285
0,2008-2012,95-100,160,120087782.766713,750548.642291959,0.25625,2705.15625,46.5,0.0506810262907824,38038.5754725098
0,2014-2018,0-50,1878,101778415.081626,54195.1092021437,0.39989350372737,1740.8237486688,96.6070287539936,0.500666488936284,27133.6750417559
0,2014-2018,50-75,935,166057264.664398,177601.352582244,0.47379679144385,2103.51229946524,94.7026737967914,0.249266862170088,44270.1318753395
0,2014-2018,75-95,748,314331579.293599,420229.384082352,0.485294117647059,2652.79679144385,88.5334224598931,0.19941348973607,83799.4079695011
0,2014-2018,95-100,190,184656200.570393,971874.739844172,0.4,2995.46842105263,72.6368421052632,0.050653159157558,49228.5258785371
1,2008-2012,0-50,687,36212238.6584474,52710.6821811461,0.499272197962154,1981.80058224163,98.7117903930131,0.5,26355.3410905731
1,2008-2012,50-75,343,76061013.8087576,221752.22684769,0.606413994169096,2478.18367346939,95.3002915451895,0.249636098981077,55357.3608506241
1,2008-2012,75-95,273,125303578.156138,458987.4657734,0.717948717948718,2815.91208791209,95.043956043956,0.198689956331878,91196.199531396
1,2008-2012,95-100,71,62238217.7282247,876594.615890488,0.507042253521127,3352.07042253521,72.5915492957746,0.0516739446870451,45297.1016944867
1,2014-2018,0-50,817,58280903.8005659,71335.2555698481,0.427172582619339,1968.78212974296,100.791921664627,0.501226993865031,35755.1557058686
1,2014-2018,50-75,404,128195583.328263,317315.800317484,0.616336633663366,2495.42574257426,99.450495049505,0.247852760736196,78647.5971339039
1,2014-2018,75-95,325,227253166.35843,699240.511872093,0.716923076923077,2886.85538461538,98.5784615384615,0.199386503067485,139419.120465295
1,2014-2018,95-100,84,107966499.51039,1285315.47036179,0.571428571428571,3920.65476190476,81.8333333333333,0.0515337423312884,66237.116264043
