treated,period,school_site_id,school_names,sales,mean_price,upper_sales,upper_sale_value,upper_mean_price,upper_apartment_share,upper_mean_building_sqft,upper_mean_age,upper_contribution_to_group_mean,share_of_group_upper_value,share_of_group_upper_sales
0,2008-2012,609797,Jacob Beidler Elementary School,66,96904.7695867279,8,2899912.12051021,362489.015063777,0.625,2727.625,103.5,918.565765128354,0.00845944774960412,0.0101394169835234
0,2008-2012,609809,Lorenz Brentano Math & Science Academy ES,75,436478.750405033,65,31287902.8062412,481352.350865249,0.476923076923077,2180.63076923077,91.7538461538462,9910.64390441596,0.0912711723614306,0.082382762991128
0,2008-2012,609812,William H Brown Elementary School,2,275509.788325259,1,364989.745127266,364989.745127266,1,2718,130,115.612842929131,0.00106472594676496,0.00126742712294043
0,2008-2012,609819,Edmond Burke Elementary School,16,237673.952844216,4,1703536.74876464,425884.18719116,0.75,7140.5,111.75,539.606192196592,0.00496945407889446,0.00506970849176172
0,2008-2012,609848,Ira F Aldridge Elementary School,10,27234.0859417643,0,0,,,,,0,0,0
0,2008-2012,609864,John W Cook Elementary School,98,119663.763434627,22,5348945.78302106,243133.89922823,0.272727272727273,1849.45454545455,84.7272727272727,1694.31288660787,0.0156036202086602,0.0278833967046895
0,2008-2012,609869,Anna R. Langford Community Academy,33,84306.7900084957,4,1429975.25546909,357493.813867272,1,1692,118.75,452.953834484982,0.00417143708297589,0.00506970849176172
0,2008-2012,609873,Crown Community Academy of Fine Arts Center ES,69,83789.3526874545,5,1353000.39996145,270600.07999229,0.6,2243.2,109.6,428.571555261784,0.00394689070324435,0.00633713561470215
0,2008-2012,609902,Ralph H Metcalfe Elementary Community Academy,70,85633.6148516115,6,1665559.89248171,277593.315413618,0.166666666666667,1681.83333333333,62.3333333333333,527.576779373363,0.00485867029715586,0.00760456273764259
0,2008-2012,609917,Fernwood Elementary School,83,76081.7756768987,2,433598.389692311,216799.194846156,0,1056.5,63.5,137.345071172731,0.00126486692337051,0.00253485424588086
0,2008-2012,609928,Melville W Fuller Elementary School,53,241868.853376283,23,9563542.90536668,415806.213276812,0.652173913043478,2760.13043478261,96.9565217391304,3029.31355887446,0.027898187306039,0.0291508238276299
0,2008-2012,609947,Alexander Graham Elementary School,63,197970.948804538,25,8152689.07007321,326107.562802928,0.36,1850.28,90.52,2582.41655688096,0.023782530070228,0.0316856780735108
0,2008-2012,609986,Charles R Henderson Elementary School,123,88456.0056239955,14,6259044.43737595,447074.60266971,0.928571428571429,2278,98,1982.59247303641,0.0182585048029374,0.017743979721166
0,2008-2012,609987,Thomas A Hendricks Elementary Community Academy,65,182970.419263203,20,9286850.07478372,464342.503739186,0.3,2153.2,46.55,2941.66932999167,0.0270910357629106,0.0253485424588086
0,2008-2012,609991,Theodore Herzl Elementary School,15,58910.8281386325,0,0,,,,,0,0,0
0,2008-2012,609997,Oliver Wendell Holmes Elementary School,100,139329.949503613,24,9601517.54220908,400063.230925378,0.958333333333333,2489.20833333333,107.291666666667,3041.34226867567,0.0280089646133603,0.0304182509505703
0,2008-2012,610012,Edward Jenner Elementary Academy of the Arts,42,652359.325428407,42,27399091.6679931,652359.325428407,0,1752.40476190476,5.33333333333333,8678.83803230696,0.0799269683769663,0.0532319391634981
0,2008-2012,610013,Pilsen Elementary Community Academy,22,240556.690848621,7,3216645.75073622,459520.821533746,0.857142857142857,3902.14285714286,88.2857142857143,1018.89317413247,0.00938340388485691,0.00887198986058302
0,2008-2012,610015,Joseph Jungman Elementary School,46,227621.469279313,23,7783091.97619067,338395.303312638,0.652173913043478,2379.78260869565,88.5217391304348,2465.34430668061,0.0227043638451237,0.0291508238276299
0,2008-2012,610029,Rodolfo Lozano Bilingual & International Ctr ES,41,721859.217469113,40,29478705.9543534,736967.648858836,0.65,2690.875,74.825,9337.56919681768,0.0859934930383068,0.0506970849176172
0,2008-2012,610030,Charles Kozminski Elementary Community Academy,68,583004.761182946,67,39480160.8003195,589256.131348052,0.164179104477612,2562.71641791045,62.0597014925373,12505.5941717832,0.115169130496793,0.0849176172370089
0,2008-2012,610032,Wendell E Green Elementary School,75,116019.665799309,13,3330675.43535371,256205.802719516,0,1282.30769230769,67.5384615384615,1055.01280815765,0.00971604436458143,0.0164765525982256
0,2008-2012,610034,Lawndale Elementary Community Academy,62,121653.175363291,11,3590815.84152525,326437.803775022,0.909090909090909,2972.18181818182,98.9090909090909,1137.41395043562,0.0104749101791709,0.0139416983523447
0,2008-2012,610037,Arthur A Libby Elementary School,99,110178.947671321,21,7456675.38546475,355079.780260226,0.952380952380952,2201.2380952381,110.047619047619,2361.94975782856,0.0217521611648011,0.026615969581749
0,2008-2012,610047,James Madison Elementary School,75,76870.8287426667,6,1668279.59686405,278046.599477342,0.833333333333333,2793.16666666667,113.333333333333,528.438263181518,0.00486660405382184,0.00760456273764259
0,2008-2012,610062,George B McClellan Elementary School,93,407966.312778974,82,36104527.8573237,440299.120211264,0.378048780487805,2121.82926829268,73,11436.3407847082,0.105321938817725,0.103929024081115
0,2008-2012,610065,Emmett Louis Till Math and Science Academy,162,90657.6427323697,18,6925627.66727929,384757.092626627,0.666666666666667,2386,91.3888888888889,2193.7369867847,0.0202030209709438,0.0228136882129278
0,2008-2012,610106,Brian Piccolo Elementary Specialty School,170,82759.5619706337,7,2116666.62970561,302380.947100801,0.571428571428571,2309.71428571429,69.7142857142857,670.467731930823,0.00617461151001186,0.00887198986058302
0,2008-2012,610116,Parkside Elementary Community Academy,52,261617.101444283,25,11250409.071995,450016.362879799,0.32,4375.68,85.68,3563.63923724897,0.032819010973846,0.0316856780735108
0,2008-2012,610123,William Penn Elementary School,83,97230.7056947823,7,2419047.02490165,345578.146414521,1,3469,100.571428571429,766.248661672995,0.00705669725860187,0.00887198986058302
