school_site_id,treated,school_names,pre_sales,pre_parcels,pre_years,initial_price,pre_price_sd
610218,0,Joseph Warren Elementary School,60,51,5,133747.11261186,99667.5582144648
610221,0,Daniel Webster Elementary School,64,54,5,69306.6130571972,95329.9112214383
610224,1,West Pullman Elementary School,58,48,5,53310.3076720633,53045.3942293464
610225,0,John Whistler Elementary School,108,84,5,88646.6271402546,61915.4338992023
610233,1,Elihu Yale Elementary School,43,35,5,133096.716517915,140002.108682398
610240,1,Matthew A Henson Elementary School,35,27,5,103465.600066796,115377.111592912
610241,1,Guglielmo Marconi Elementary Community Academy,38,33,5,123837.696253943,155991.485296958
610243,1,John Calhoun North Elementary School,77,60,5,106039.6090202,100560.988860204
610256,0,Jackie Robinson Elementary School,65,52,5,315471.783901847,209819.052603312
610268,0,Arthur R Ashe Elementary School,50,42,5,110547.274154178,82691.7195270324
610273,1,Ignance Paderewski Elementary Learning Academy,23,21,5,117131.789754981,214989.268130985
610277,1,Anthony Overton Elementary School,40,30,5,192026.679929102,120436.26642921
610280,1,Kate S Buckingham Special Education Center,85,61,5,126164.697781103,89345.7646601315
610281,0,Adam Clayton Powell Paideia Community Academy ES,32,29,5,123999.041857119,129294.431497749
610282,0,Ronald E McNair Elementary School,74,59,5,97515.0365371698,114970.818543846
610285,1,Granville T Woods Math & Science Academy ES,43,36,5,130456.438776856,158109.576135072
610299,0,William A Hinton Elementary School,80,64,5,121622.167854532,134694.458235127
610339,0,Amos Alonzo Stagg Elementary School,114,90,5,93943.7721876966,117161.929789976
610345,0,Carter G Woodson South Elementary School,29,25,5,230526.201020158,136589.905115373
610347,0,Claremont Academy Elementary School,88,62,5,82843.7335034934,102534.173050874
610348,1,Nathan R Goldblatt Elementary School,5,4,3,131855.608981639,171977.697515828
610365,1,Mary McLeod Bethune Elementary School,36,30,5,117293.511488635,114287.402105001
610521,0,Sir Miles Davis Magnet Elementary Academy,89,72,5,113896.847526967,139440.706375338
