school_site_id,treated,school_names,pre_sales,pre_parcels,pre_years,initial_price,pre_price_sd
609797,0,Jacob Beidler Elementary School,66,55,5,96904.7695867279,112957.375206117
609809,0,Lorenz Brentano Math & Science Academy ES,75,69,5,436478.750405033,226927.90904606
609812,0,William H Brown Elementary School,2,2,2,275509.788325259,126543.768469956
609819,0,Edmond Burke Elementary School,16,10,5,237673.952844216,145972.734693885
609848,0,Ira F Aldridge Elementary School,10,10,4,27234.0859417643,14510.5927378703
609864,0,John W Cook Elementary School,98,72,5,119663.763434627,99143.3456225967
609869,0,Anna R. Langford Community Academy,33,27,5,84306.7900084957,112991.834892913
609873,0,Crown Community Academy of Fine Arts Center ES,69,56,5,83789.3526874545,79980.4867458581
609902,0,Ralph H Metcalfe Elementary Community Academy,70,58,5,85633.6148516115,96912.5601219702
609906,1,Robert Emmet Elementary School,18,16,5,159176.084026108,245758.014391876
609917,0,Fernwood Elementary School,83,68,5,76081.7756768987,64038.1683912545
609928,0,Melville W Fuller Elementary School,53,43,5,241868.853376283,180413.126404749
609932,1,Jesse Owens Elementary Community Academy,37,30,5,102832.944103875,71397.795770536
609947,0,Alexander Graham Elementary School,63,59,5,197970.948804538,132092.724744632
609986,0,Charles R Henderson Elementary School,123,102,5,88456.0056239955,142089.163918337
609987,0,Thomas A Hendricks Elementary Community Academy,65,57,5,182970.419263203,212815.249640867
609991,0,Theodore Herzl Elementary School,15,12,5,58910.8281386325,44374.721652576
609997,0,Oliver Wendell Holmes Elementary School,100,74,5,139329.949503613,158090.31946683
610012,0,Edward Jenner Elementary Academy of the Arts,42,38,5,652359.325428407,149039.122442368
610013,0,Pilsen Elementary Community Academy,22,20,5,240556.690848621,181095.522592694
610015,0,Joseph Jungman Elementary School,46,41,5,227621.469279313,152971.190442958
610020,1,Francis Scott Key Elementary School,36,33,5,98809.2339490676,92667.0328984126
610023,1,William H King Elementary School,60,53,5,242102.330332441,152640.769725747
610028,1,Alfred David Kohn Elementary School,49,44,5,66362.4017647662,63943.1764532814
610029,0,Rodolfo Lozano Bilingual & International Ctr ES,41,34,5,721859.217469113,489702.103080148
610030,0,Charles Kozminski Elementary Community Academy,68,62,5,583004.761182946,283719.033451417
610031,1,Jean D Lafayette Elementary School,96,76,5,357007.612207209,215486.668639432
610032,0,Wendell E Green Elementary School,75,58,5,116019.665799309,98938.9106890972
610034,0,Lawndale Elementary Community Academy,62,53,5,121653.175363291,126875.932170097
610037,0,Arthur A Libby Elementary School,99,75,5,110178.947671321,141348.520440967
610047,0,James Madison Elementary School,75,63,5,76870.8287426667,80124.9678547951
610062,0,George B McClellan Elementary School,93,91,5,407966.312778974,177120.626799472
610065,0,Emmett Louis Till Math and Science Academy,162,131,5,90657.6427323697,113881.914385948
610072,1,Garrett A Morgan Elementary School,13,11,4,145484.867268015,133286.113509226
610085,1,Near North Elementary School,33,29,5,496625.728608843,236133.137235609
610106,0,Brian Piccolo Elementary Specialty School,170,140,5,82759.5619706337,72502.7637690556
610114,1,Francis Parkman Elementary School,20,14,5,138445.421773517,157472.448795826
610116,0,Parkside Elementary Community Academy,52,46,5,261617.101444283,225217.872546447
610119,1,Elizabeth Peabody Elementary School,76,61,5,521309.961894398,238578.92196602
610123,0,William Penn Elementary School,83,71,5,97230.7056947823,103911.34217762
610134,1,Nathaniel Pope Elementary School,47,39,5,163149.849009631,172149.134569007
610139,0,George M Pullman Elementary School,71,63,5,112154.826227491,68470.5296447866
610143,0,William C Reavis Math & Science Specialty ES,28,21,5,246150.456359774,307257.935722959
610150,1,Betsy Ross Elementary School,18,13,4,132655.501528119,137494.467563592
610156,1,Louis Armstrong Math & Science Elementary School,38,33,5,124993.91038379,119013.956876458
610160,1,Songhai Elementary Learning Institute,58,51,5,46578.5536969012,62100.3357020119
610161,1,Arna Wendell Bontemps Elementary School,99,75,5,113054.093579596,146326.79547852
610172,0,William T Sherman Elementary School,89,65,5,128360.236196853,157473.011738402
610176,0,John D Shoop Math-Science Technical Academy ES,53,45,5,64803.6874142557,57325.5362273878
610180,0,John M Smyth Elementary School,1,1,1,510985.643178173,
610187,1,Graeme Stewart Elementary School,7,7,2,767770.016287043,394602.345251865
610193,0,William K New Sullivan Elementary School,31,27,5,55922.7676864578,63501.6062921607
610205,1,Lyman Trumbull Elementary School,89,77,5,633432.678502248,221725.662363035
610210,1,Alexander von Humboldt Elementary School / Ana Roque de Duprey Elementary School,97,80,5,304345.947784366,184850.813364648
