term,estimate,std_error,t_statistic,p_value,conf_low,conf_high,ring,weighting,specification,outcome,estimator,sale_year
treated_post,98344.9143031656,66206.5159471259,1.48542651574818,0.147530227268973,-36684.1652100558,233373.993816387,annulus_0125_025,equal_transaction,site_unadjusted,dollars,did,
sale_year::2008:treated,51627.0202566001,24220.9068357986,2.13150649587963,0.0410809589223894,2228.15508107411,101025.885432126,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2008
sale_year::2009:treated,100134.733604893,49088.534156606,2.03988029639336,0.0499612866945382,18.0081286054919,200251.45908118,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2009
sale_year::2010:treated,-35338.5531294037,22523.8830027872,-1.56893698679889,0.126814884988148,-81276.3153786477,10599.2091198404,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2010
sale_year::2011:treated,430.593420554271,22053.2788085855,0.0195251429182784,0.984547312176472,-44547.3652466848,45408.5520877934,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2011
sale_year::2013:treated,101407.412130133,62418.0937674265,1.62464769443269,0.114363399645834,-25895.1294069653,228709.953667231,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2013
sale_year::2014:treated,69505.3867686793,55780.7099808312,1.24604700787359,0.222082012515911,-44260.1212867643,183270.894824123,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2014
sale_year::2015:treated,109464.096114426,49534.5347605407,2.20985412790484,0.034630361794322,8437.74640931339,210490.445819539,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2015
sale_year::2016:treated,154946.616719841,93953.1565878196,1.64919011076556,0.109207440321576,-36672.1094724048,346565.342912086,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2016
sale_year::2017:treated,155594.246077568,85177.2296191799,1.82671174882321,0.0773866210259703,-18125.8590575433,329314.35121268,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2017
sale_year::2018:treated,95126.8497986437,74713.5249420292,1.27322127917875,0.212404796457434,-57252.3889482982,247506.088545586,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2018
treated_post,0.0156120951279082,0.111032016173245,0.140608949256117,0.889088566347776,-0.210839194837928,0.242063385093745,annulus_0125_025,equal_transaction,site_unadjusted,log,did,
sale_year::2008:treated,0.0787447159015715,0.200020036585026,0.393684139079226,0.696509104144939,-0.329198838262291,0.486688270065434,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2008
sale_year::2009:treated,0.118190854732758,0.187388253562319,0.63072712662564,0.532841727584353,-0.263990008104331,0.500371717569848,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2009
sale_year::2010:treated,-0.0011276034734922,0.153764688912558,-0.00733330572491481,0.994195910960079,-0.314732754091614,0.31247754714463,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2010
sale_year::2011:treated,-0.00720849918822022,0.156921164111543,-0.045937074384028,0.9636550578095,-0.32725132341789,0.31283432504145,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2011
sale_year::2013:treated,0.187073235458269,0.0894932646795756,2.09036105821004,0.0448792971184891,0.00455051878236151,0.369595952134176,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2013
sale_year::2014:treated,0.132799386262763,0.137688340857998,0.964492602897462,0.342263144924777,-0.148017836329135,0.413616608854662,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2014
sale_year::2015:treated,0.0659412288222305,0.131524065391799,0.501362458845818,0.619657976351355,-0.202303871069064,0.334186328713526,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2015
sale_year::2016:treated,0.104230629991626,0.175959363657013,0.592356256725256,0.557908378638779,-0.254640858206207,0.463102118189459,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2016
sale_year::2017:treated,0.0853003449460142,0.113272108436861,0.753056918628484,0.457096925515609,-0.145719643312636,0.316320333204664,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2017
sale_year::2018:treated,-0.103704491108035,0.114087499933243,-0.908990828694794,0.370368162430594,-0.336387481287633,0.128978499071562,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2018
treated_post,70505.2807360101,48755.1283121195,1.44611004374044,0.158181836677375,-28931.4590373398,169942.02050936,annulus_0125_025,equal_transaction,site_hedonics,dollars,did,
sale_year::2008:treated,7847.81690437329,33999.3749145409,0.230822387885047,0.818969412899913,-61494.3654029057,77189.9992116523,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2008
sale_year::2009:treated,17318.1776872112,30265.4065842158,0.572210310111714,0.571306202026394,-44408.5260019512,79044.8813763736,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2009
sale_year::2010:treated,-28132.086709794,28628.7877343935,-0.982650294898695,0.333387053175267,-86520.8842481181,30256.7108285302,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2010
sale_year::2011:treated,11501.1530325512,19465.3059968627,0.590853954949636,0.558901912286892,-28198.6002862709,51200.9063513732,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2011
sale_year::2013:treated,68024.6591273082,45317.4422742741,1.50107013356146,0.143455238722471,-24400.8737473669,160450.192001983,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2013
sale_year::2014:treated,30665.972113768,40042.332027337,0.765838815102784,0.44956444076755,-51000.9024810553,112332.846708591,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2014
sale_year::2015:treated,49968.1561773268,52436.2963217552,0.952930692715526,0.347996893386555,-56976.3752501195,156912.687604773,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2015
sale_year::2016:treated,115069.2610484,67237.0758406915,1.71139597624739,0.09699772826359,-22061.6592250652,252200.181321866,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2016
sale_year::2017:treated,110968.052810856,60293.3950837233,1.84046781006055,0.0752902817644748,-12001.137191289,233937.242813001,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2017
sale_year::2018:treated,48484.6585613283,48947.04168294,0.990553400048017,0.329572833430884,-51343.4911123534,148312.80823501,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2018
treated_post,-0.0294488818850575,0.103127359043048,-0.285558382938564,0.777115785325691,-0.239778517344704,0.180880753574589,annulus_0125_025,equal_transaction,site_hedonics,log,did,
sale_year::2008:treated,-0.0474601902617244,0.232157866121628,-0.204430679238153,0.83935322721364,-0.520949279903481,0.426028899380032,annulus_0125_025,equal_transaction,site_hedonics,log,event,2008
sale_year::2009:treated,-0.0820599612205157,0.173026474868723,-0.474262457712184,0.638636471071875,-0.434949783297846,0.270829860856814,annulus_0125_025,equal_transaction,site_hedonics,log,event,2009
sale_year::2010:treated,0.0321218180942635,0.182636858178241,0.175878069819372,0.861533616884042,-0.340368509967853,0.40461214615638,annulus_0125_025,equal_transaction,site_hedonics,log,event,2010
sale_year::2011:treated,-0.0181824141044871,0.144438652914487,-0.125883298809576,0.900637190221157,-0.312766988902968,0.276402160693994,annulus_0125_025,equal_transaction,site_hedonics,log,event,2011
sale_year::2013:treated,0.106308212937871,0.0810287974096837,1.31198063326022,0.199159501783743,-0.0589511089245092,0.271567534800252,annulus_0125_025,equal_transaction,site_hedonics,log,event,2013
sale_year::2014:treated,0.0266595211715968,0.140495557330635,0.189753481733644,0.850739347984883,-0.25988305716319,0.313202099506384,annulus_0125_025,equal_transaction,site_hedonics,log,event,2014
sale_year::2015:treated,-0.0520049084176604,0.19033518489378,-0.273228034252745,0.786490015705414,-0.440196077330872,0.336186260495551,annulus_0125_025,equal_transaction,site_hedonics,log,event,2015
sale_year::2016:treated,0.0112307567346789,0.184655699527934,0.0608199842376375,0.951892998072979,-0.365377025406278,0.387838538875635,annulus_0125_025,equal_transaction,site_hedonics,log,event,2016
sale_year::2017:treated,-0.00620587674968798,0.150337684119298,-0.0412795819361126,0.967337736210225,-0.312821605011092,0.300409851511716,annulus_0125_025,equal_transaction,site_hedonics,log,event,2017
