term,estimate,std_error,t_statistic,p_value,conf_low,conf_high,ring,weighting,specification,outcome,estimator,sale_year
treated_post,57235.2286545941,32668.7749394701,1.75198576502001,0.08380995406885,-7830.27558299454,122300.732892183,annulus_0125_025,equal_transaction,site_unadjusted,dollars,did,
sale_year::2008:treated,13724.4182492868,19935.1821888924,0.688452110406786,0.493264298295974,-25979.9380846064,53428.77458318,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2008
sale_year::2009:treated,22816.8535773519,23333.19337252,0.977871018898931,0.331240627010441,-23655.2285582386,69288.9357129423,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2009
sale_year::2010:treated,-39718.7002004492,18523.0540051436,-2.14428464061163,0.0352069978865732,-76610.5595094626,-2826.84089143584,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2010
sale_year::2011:treated,-13220.8265122816,20073.888139293,-0.658608159044333,0.512137798276955,-53201.4396883823,26759.7866638191,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2011
sale_year::2013:treated,12452.957902209,21911.5956797929,0.56832729501728,0.571488201048997,-31187.7670468429,56093.6828512609,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2013
sale_year::2014:treated,43777.9366475944,32610.3098463377,1.34245693628424,0.183444170819489,-21171.1242653821,108726.997560571,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2014
sale_year::2015:treated,49721.7988891579,41644.1859444004,1.19396736330834,0.236204141208212,-33219.7856072536,132663.38338557,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2015
sale_year::2016:treated,67516.8276788856,40576.0299647671,1.66395844387713,0.100238996802248,-13297.3398100621,148330.995167833,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2016
sale_year::2017:treated,57361.1295470811,43616.5224750334,1.31512386343765,0.192422510825299,-29508.7035943939,144230.962688556,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2017
sale_year::2018:treated,52265.1944251779,38667.1352222655,1.35166968343396,0.180490393921663,-24747.0796904347,129277.46854079,annulus_0125_025,equal_transaction,site_unadjusted,dollars,event,2018
treated_post,0.0582481608421038,0.0945626839105758,0.615974065384891,0.539752134899494,-0.130089746597076,0.246586068281284,annulus_0125_025,equal_transaction,site_unadjusted,log,did,
sale_year::2008:treated,-0.0896961221647665,0.100570570606583,-0.891872459545288,0.375276395230354,-0.289999772978233,0.1106075286487,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2008
sale_year::2009:treated,-0.0626503861512735,0.115556256433695,-0.542163514852367,0.589292048883149,-0.292800616963339,0.167499844660792,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2009
sale_year::2010:treated,-0.21458462262112,0.10600427410876,-2.02430160882908,0.0464531735536238,-0.425710431868802,-0.00345881337343879,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2010
sale_year::2011:treated,-0.171180842374612,0.114506197616723,-1.49494827299734,0.13906877147665,-0.399239699802398,0.0568780150531742,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2011
sale_year::2013:treated,-0.0834565898276105,0.0959125294284003,-0.87013229997142,0.386968125312298,-0.274482947611893,0.107569767956672,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2013
sale_year::2014:treated,0.046080690737268,0.100814227797924,0.457085192673736,0.648913681044243,-0.154708245430335,0.246869626904871,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2014
sale_year::2015:treated,-0.0964749366196773,0.130101663830708,-0.741534994857664,0.460654461745595,-0.355594856940495,0.162644983701141,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2015
sale_year::2016:treated,-0.0962334295321459,0.115615952738627,-0.832354249155397,0.407816927516446,-0.326502555839642,0.13403569677535,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2016
sale_year::2017:treated,-0.0495033871283457,0.115790568003972,-0.427525211955499,0.67020575112727,-0.280120289877054,0.181113515620363,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2017
sale_year::2018:treated,-0.0412719157130483,0.104832746400714,-0.39369297409504,0.694910094950281,-0.250064425313176,0.16752059388708,annulus_0125_025,equal_transaction,site_unadjusted,log,event,2018
treated_post,51360.7104321411,30166.4260338849,1.70257856779088,0.0927339475275476,-8720.93403041915,111442.354894701,annulus_0125_025,equal_transaction,site_hedonics,dollars,did,
sale_year::2008:treated,21161.9157908621,18691.7411283625,1.13215326734605,0.26112945792177,-16065.9130410661,58389.7446227903,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2008
sale_year::2009:treated,18928.0939630651,20514.3977070814,0.922673637965557,0.359097291618922,-21929.8700534862,59786.0579796164,annulus_0125_025,equal_transaction,site_hedonics,dollars,event,2009
