geography,weighting,variable,label,control_mean,treated_mean,difference,standardized_difference,ci_lower,ci_upper,bootstrap_repetitions,control_units,treated_units,control_missing_sales,treated_missing_sales,control_geographies,treated_geographies
tract,equal_transaction,median_household_income,Median household income (2012 dollars),34495.5980361102,37418.8093158661,2923.21127975585,0.183036709888583,-0.302697810979348,0.637673747059053,1999,3157,1374,0,0,121,76
tract,equal_site,median_household_income,Median household income (2012 dollars),35249.7116548322,33570.1920010478,-1679.51965378434,-0.114421862960306,-0.593109853330874,0.333328626343174,1999,48,29,0,0,121,76
tract,equal_transaction,poverty_pct,Below poverty threshold (%),34.2600644187444,32.4370368499916,-1.82302756875273,-0.132518307213634,-0.588178401439145,0.351169774442335,1999,3157,1374,0,0,121,76
tract,equal_site,poverty_pct,Below poverty threshold (%),33.4340306972876,34.854990448796,1.42095975150838,0.119976608587081,-0.326987525220045,0.608264705341714,1999,48,29,0,0,121,76
tract,equal_transaction,college_pct,"Bachelor's degree or more, age 25+ (%)",17.0833476757471,23.7019662036788,6.61861852793171,0.389739412814296,-0.173283026283469,0.926657356349323,1999,3157,1374,0,0,121,76
tract,equal_site,college_pct,"Bachelor's degree or more, age 25+ (%)",20.4252443178028,19.8600539065927,-0.565190411210143,-0.0342680935127238,-0.517493797956378,0.435054896523359,1999,48,29,0,0,121,76
tract,equal_transaction,black_pct,Non-Hispanic Black (%),77.962562485841,67.2566081632761,-10.7059543225648,-0.308485044930358,-0.851996259808837,0.26575042952493,1999,3157,1374,0,0,121,76
tract,equal_site,black_pct,Non-Hispanic Black (%),75.1654475425716,75.1934153557276,0.0279678131559251,0.000849928036001547,-0.450764069403033,0.481988087979763,1999,48,29,0,0,121,76
tract,equal_transaction,white_pct,Non-Hispanic White (%),8.87342701604079,15.6173636217023,6.74393660566155,0.340311935963165,-0.208569477100987,0.855934417332993,1999,3157,1374,0,0,121,76
tract,equal_site,white_pct,Non-Hispanic White (%),10.5781060313148,11.3295341892849,0.751428157970143,0.041052330115383,-0.419901454951262,0.491582931775981,1999,48,29,0,0,121,76
tract,equal_transaction,hispanic_pct,"Hispanic, any race (%)",10.6029311772799,13.9273823113025,3.32445113402258,0.189963891570372,-0.311358224599656,0.704680406439943,1999,3157,1374,0,0,121,76
tract,equal_site,hispanic_pct,"Hispanic, any race (%)",11.0460639096924,10.7896655713792,-0.256398338313204,-0.015746613382905,-0.445684569759264,0.482464341474182,1999,48,29,0,0,121,76
tract,equal_transaction,unemployment_pct,"Unemployed, civilian labor force (%)",23.1703125122238,19.5755544141022,-3.5947580981216,-0.359302649059221,-0.837768150567414,0.116241523591079,1999,3157,1374,0,0,121,76
tract,equal_site,unemployment_pct,"Unemployed, civilian labor force (%)",22.0427970037106,21.7662112404626,-0.276585763247958,-0.0296484032094517,-0.514514075252566,0.438615431094806,1999,48,29,0,0,121,76
tract,equal_transaction,renter_pct,"Renter-occupied, occupied units (%)",58.2091754267435,63.2379676670888,5.02879224034521,0.286746375188353,-0.178003364242187,0.74866187442444,1999,3157,1374,0,0,121,76
tract,equal_site,renter_pct,"Renter-occupied, occupied units (%)",61.1518124124017,65.213123807879,4.06131139547725,0.243967097521825,-0.211430891434576,0.685890345339527,1999,48,29,0,0,121,76
tract,equal_transaction,vacancy_pct,"Vacant, all housing units (%)",21.0914610741923,20.8138870298118,-0.277574044380582,-0.0298332834585178,-0.500941847264626,0.464551302465697,1999,3157,1374,0,0,121,76
tract,equal_site,vacancy_pct,"Vacant, all housing units (%)",20.2619224639967,21.3183471148816,1.05642465088498,0.125248331678309,-0.314496888097565,0.596064804384238,1999,48,29,0,0,121,76
tract,equal_transaction,population_per_sq_mile,Population per square mile of land,12858.582508068,16690.1088485449,3831.5263404769,0.48034039596719,0.00259449199225658,0.914493730000916,1999,3157,1374,0,0,121,76
tract,equal_site,population_per_sq_mile,Population per square mile of land,13251.5544185015,17035.6483578723,3784.09393937073,0.426349701605681,-0.0273083179469584,0.825411100344785,1999,48,29,0,0,121,76
block_group,equal_transaction,median_household_income,Median household income (2012 dollars),35206.4190687361,37869.7721979622,2663.35312922602,0.144168780042249,-0.305940536662431,0.550950078121819,1999,3157,1374,0,0,209,127
block_group,equal_site,median_household_income,Median household income (2012 dollars),35421.9683890209,33378.2317161212,-2043.73667289971,-0.140731022203256,-0.625444290270742,0.296615878097524,1999,48,29,0,0,209,127
block_group,equal_transaction,poverty_pct,Below poverty threshold (%),34.6369698452732,31.3707545719134,-3.26621527335983,-0.18288427321395,-0.585040826551459,0.226789629318734,1999,3157,1374,0,0,209,127
block_group,equal_site,poverty_pct,Below poverty threshold (%),33.7409571427433,33.7399154070575,-0.0010417356858099,-7.90271480235333e-05,-0.461141985723451,0.4966868697349,1999,48,29,0,0,209,127
block_group,equal_transaction,college_pct,"Bachelor's degree or more, age 25+ (%)",17.3328566279607,23.6356859919583,6.30282936399754,0.350191891264534,-0.174664187351948,0.853561353537117,1999,3157,1374,0,0,209,127
block_group,equal_site,college_pct,"Bachelor's degree or more, age 25+ (%)",20.0725213990221,19.7753685908593,-0.297152808162757,-0.0184806014981618,-0.497666665404932,0.438428727524468,1999,48,29,0,0,209,127
block_group,equal_transaction,black_pct,Non-Hispanic Black (%),77.9706968551509,67.857743690887,-10.1129531642639,-0.284332117300212,-0.825386769303317,0.281582480710721,1999,3157,1374,0,0,209,127
block_group,equal_site,black_pct,Non-Hispanic Black (%),75.7257075900604,75.7506960720524,0.0249884819919686,0.000759504104512688,-0.453428514662532,0.489046676574104,1999,48,29,0,0,209,127
block_group,equal_transaction,white_pct,Non-Hispanic White (%),9.12696835327957,15.1559712761371,6.02900292285753,0.291884693028943,-0.240470252210756,0.805244367242801,1999,3157,1374,0,0,209,127
block_group,equal_site,white_pct,Non-Hispanic White (%),10.6362537285958,10.8631663269323,0.226912598336439,0.0122133127743055,-0.431910171722442,0.467845726550861,1999,48,29,0,0,209,127
block_group,equal_transaction,hispanic_pct,"Hispanic, any race (%)",10.3094432116143,13.628176870708,3.31873365909374,0.18448421615839,-0.318943915719958,0.677941252571534,1999,3157,1374,0,0,209,127
block_group,equal_site,hispanic_pct,"Hispanic, any race (%)",10.9188748793446,10.5858152175636,-0.333059661781007,-0.0208574723251137,-0.463163114757018,0.469194648402004,1999,48,29,0,0,209,127
block_group,equal_transaction,unemployment_pct,"Unemployed, civilian labor force (%)",22.820775598791,19.3678461591902,-3.45292943960074,-0.27132861470701,-0.661160674319521,0.134832127133852,1999,3157,1374,0,0,209,127
block_group,equal_site,unemployment_pct,"Unemployed, civilian labor force (%)",21.4728051994005,21.4513261438545,-0.0214790555460169,-0.00221600925492933,-0.473918431191669,0.48391837228415,1999,48,29,0,0,209,127
block_group,equal_transaction,renter_pct,"Renter-occupied, occupied units (%)",56.8866417546564,63.2635780951328,6.3769363404764,0.332423528783269,-0.0886331277403471,0.766664234315957,1999,3157,1374,0,0,209,127
block_group,equal_site,renter_pct,"Renter-occupied, occupied units (%)",59.4782515166432,64.9855034736995,5.5072519570563,0.323198087917594,-0.123808031689686,0.804760551886676,1999,48,29,0,0,209,127
block_group,equal_transaction,vacancy_pct,"Vacant, all housing units (%)",20.8633883845652,21.3641018116823,0.500713427117162,0.0427871652820456,-0.359856301485422,0.461222684008535,1999,3157,1374,0,0,209,127
block_group,equal_site,vacancy_pct,"Vacant, all housing units (%)",19.8248086862984,21.5764595109909,1.75165082469248,0.181456797995911,-0.275576699409366,0.662779062034785,1999,48,29,0,0,209,127
block_group,equal_transaction,population_per_sq_mile,Population per square mile of land,14419.5726888807,17166.4944775263,2746.92178864556,0.295214484404774,-0.171407030801573,0.706265672126047,1999,3157,1374,0,0,209,127
block_group,equal_site,population_per_sq_mile,Population per square mile of land,14628.8258378433,17779.7674161152,3150.9415782719,0.300485538778093,-0.19455107892731,0.683103000118679,1999,48,29,0,0,209,127
