term,estimate,std_error,t_statistic,p_value,conf_low,conf_high,model,sale_year,sale_halfyear
treated_post,0.0743857527888558,0.0884764361480417,0.840740834818336,0.403130529689191,-0.101830341686174,0.250601847263885,did_log,,
treated_post,62879.6827881421,31653.5996431497,1.98649390581239,0.0505837096740092,-163.924617777295,125923.290194061,did_dollars,,
sale_year::2008:treated,-0.070914365940535,0.103393005423715,-0.685871985729795,0.494880848714527,-0.276839382871791,0.135010650990721,event_log,2008,
sale_year::2009:treated,0.00230820489847229,0.105352737845284,0.0219093015111009,0.9825777262363,-0.207519957419054,0.212136367215999,event_log,2009,
sale_year::2010:treated,-0.190860408164717,0.0907606238324954,-2.10289881344317,0.0387850282432299,-0.37162585668616,-0.0100949596432728,event_log,2010,
sale_year::2011:treated,-0.0765055070601395,0.103835228858811,-0.736797211321865,0.463514115736319,-0.283311288294418,0.130300274174139,event_log,2011,
sale_year::2013:treated,-0.00719820955751692,0.0769282975576837,-0.0935703737902094,0.925696684683715,-0.16041419270975,0.146017773594716,event_log,2013,
sale_year::2014:treated,0.0930494780681397,0.0835860281362193,1.11321808372684,0.269123354508198,-0.0734265247197566,0.259525480856036,event_log,2014,
sale_year::2015:treated,-0.0108096147947709,0.111764888556258,-0.0967174479785734,0.923205379900043,-0.233408682052258,0.211789452462716,event_log,2015,
sale_year::2016:treated,-0.0139172735310063,0.0997001937451876,-0.13959123857448,0.889352228618643,-0.212487418589563,0.18465287152755,event_log,2016,
sale_year::2017:treated,0.00529312386235343,0.100257304294694,0.0527953938078659,0.958033459785644,-0.1943866030182,0.204972850742906,event_log,2017,
sale_year::2018:treated,-0.0226267098853263,0.0956592995970063,-0.236534346170714,0.813654411977652,-0.213148716750477,0.167895296979824,event_log,2018,
sale_year::2008:treated,8069.61109180572,17426.622592038,0.463062251402209,0.644643017271339,-26638.5158033713,42777.7379869827,event_dollars,2008,
sale_year::2009:treated,24598.8588562549,18075.1739122983,1.36091962243958,0.177561079452395,-11400.9699394335,60598.6876519432,event_dollars,2009,
sale_year::2010:treated,-31917.293990765,15273.1807750467,-2.08976076829467,0.0399849168887477,-62336.4698025771,-1498.11817895296,event_dollars,2010,
sale_year::2011:treated,1704.96034189463,17838.279554401,0.0955787432692177,0.924106720425382,-33823.0524497903,37232.9731335796,event_dollars,2011,
sale_year::2013:treated,19664.225685705,14715.0979038437,1.33632992550927,0.185428731935911,-9643.43175762001,48971.8831290301,event_dollars,2013,
sale_year::2014:treated,45809.2140702412,27018.1429265161,1.69549825074333,0.094074354349453,-8002.0811599656,99620.5093004479,event_dollars,2014,
sale_year::2015:treated,60385.5958975563,37553.5359096968,1.60798695608218,0.111984763472156,-14408.7529690941,135179.944764207,event_dollars,2015,
sale_year::2016:treated,75987.2823115932,35554.0081671407,2.13723532813443,0.0357953575487886,5175.33808201632,146799.22654117,event_dollars,2016,
sale_year::2017:treated,80863.369788268,42053.608716432,1.9228639885231,0.0582437328261836,-2893.65082896363,164620.3904055,event_dollars,2017,
sale_year::2018:treated,52256.7882171973,36700.6218786316,1.42386655980952,0.158577913935581,-20838.835135399,125352.411569794,event_dollars,2018,
treated_post,0.0551801353319059,0.085068263984088,0.648657122499025,0.518515266268246,-0.114247995995224,0.224608266659036,did_hedonic_log,,
treated_post,56982.5980971902,30071.2202581834,1.8949213769163,0.0619061817962061,-2909.4276296254,116874.623824006,did_hedonic_dollars,,
sale_year::2008:treated,-0.0617257482684692,0.113225751607065,-0.545156445352468,0.58724226409044,-0.287234376450691,0.163782879913753,event_hedonic_log,2008,
sale_year::2009:treated,-0.0159375814290052,0.10375566849102,-0.153606850216426,0.878326874965087,-0.222584904457941,0.190709741599931,event_hedonic_log,2009,
sale_year::2010:treated,-0.119748099260545,0.0900216798969458,-1.33021400397803,0.187425807521815,-0.299041813385492,0.0595456148644015,event_hedonic_log,2010,
sale_year::2011:treated,-0.056149687816233,0.0958029705625281,-0.58609547790155,0.559548006441563,-0.246957840208214,0.134658464575748,event_hedonic_log,2011,
sale_year::2013:treated,-0.00238922786427209,0.0776689426103555,-0.0307616890866947,0.975540234441228,-0.15708033348138,0.152301877752836,event_hedonic_log,2013,
sale_year::2014:treated,0.0461972094946288,0.0793598971723819,0.58212284970936,0.562206865588235,-0.111861724007821,0.204256142997079,event_hedonic_log,2014,
sale_year::2015:treated,-0.049325519030778,0.10176783615111,-0.484686723195498,0.629292615358784,-0.25201373083575,0.153362692774194,event_hedonic_log,2015,
sale_year::2016:treated,-0.00984268961163748,0.0947008447562896,-0.103934549232031,0.91749507772623,-0.198455768222951,0.178770388999676,event_hedonic_log,2016,
sale_year::2017:treated,0.0136722678415196,0.0982447870260548,0.139165326277248,0.88968762498352,-0.181999183518647,0.209343719201686,event_hedonic_log,2017,
sale_year::2018:treated,0.00542878084060017,0.0986045760457952,0.0550560740515619,0.956238268254963,-0.190959252455434,0.201816814136635,event_hedonic_log,2018,
