school_site_id,treated,sale_year,sales,parcels,mean_real_price,mean_log_real_price
609797,0,2008,7,7,125239.28068283,11.4421349698666
609797,0,2009,26,23,116597.274614656,11.1909237414227
609797,0,2010,15,14,79384.0758030342,10.9701274425531
609797,0,2011,12,12,77968.7747375641,10.8699800925889
609797,0,2012,6,6,60187.3756778179,10.729757381736
609797,0,2013,7,7,122832.892589856,11.3547946759576
609797,0,2014,10,10,122542.335341676,11.4313726822343
609797,0,2015,10,10,199149.376493618,12.0409745775648
609797,0,2016,11,11,125215.480558969,11.3669322975358
609797,0,2017,9,9,222089.125789198,12.0615017750202
609797,0,2018,15,15,181234.81847592,12.0055863791566
609809,0,2008,9,9,650322.051907381,13.3085916590931
609809,0,2009,15,15,345393.340466574,12.6507884152224
609809,0,2010,18,18,438306.657182534,12.8554774774644
609809,0,2011,14,14,440811.92407526,12.8565901130761
609809,0,2012,19,18,402169.523151219,12.7214602312616
609809,0,2013,31,30,526055.473234892,13.05382010654
609809,0,2014,21,20,711457.439734001,13.3777730883235
609809,0,2015,22,22,601276.726778234,13.1542801783926
609809,0,2016,39,39,674215.133595336,13.3174603933028
609809,0,2017,33,33,724977.530035197,13.3998161868572
609809,0,2018,32,31,780893.78685056,13.478145779466
609812,0,2008,1,1,364989.745127266,12.8076245366282
609812,0,2010,1,1,186029.831523253,12.1336623243687
609812,0,2013,1,1,424230.702435059,12.9580326957568
609812,0,2016,2,2,881363.345200701,13.5710976827642
609812,0,2018,1,1,1017620.83241676,13.8329779434661
609819,0,2008,6,2,253463.503686136,12.4322807025883
609819,0,2009,4,4,175079.365911842,11.9682229709769
609819,0,2010,2,2,526786.936810387,13.1742178285069
609819,0,2011,2,2,48037.1583749496,10.7795819439604
609819,0,2012,2,2,216018.284686298,12.1327883822741
609819,0,2013,3,3,261325.736342919,11.6027652291978
609819,0,2014,2,2,272861.596433964,12.1222843565716
609819,0,2015,3,3,332464.971895515,12.6424553289624
609819,0,2016,1,1,462830.64022471,13.0451164783001
609819,0,2017,3,3,169000.066255227,11.6040989870801
609819,0,2018,7,6,214793.774261562,11.9559417099245
609848,0,2008,2,2,32677.7859899054,10.3340181363989
609848,0,2010,2,2,18975.2344364539,9.83287331151642
609848,0,2011,3,3,36087.1256979,10.3691443391821
609848,0,2012,3,3,20257.8138237417,9.91475233072379
609848,0,2013,1,1,18193.4165280089,9.80881507839481
609848,0,2014,3,3,20701.0159735915,9.93289999204068
609848,0,2015,1,1,21405.6463666801,9.97141001511823
609848,0,2016,2,2,51393.1581144295,10.7758477636671
609848,0,2017,5,5,51779.9151684843,10.6521149020467
609848,0,2018,2,2,51488.9480086609,10.6554949070448
609864,0,2008,20,17,182466.258722834,11.8973581472197
609864,0,2009,21,19,131962.433387124,11.4730319196657
609864,0,2010,12,12,115817.867746745,11.4162830144764
609864,0,2011,14,13,111422.30982517,11.3647697994913
609864,0,2012,31,26,76025.3480804475,10.9339679493789
609864,0,2013,22,21,103457.312480851,11.2949194755729
609864,0,2014,24,23,99785.3219269936,11.2335662749513
609864,0,2015,19,16,101320.852346406,11.297251807867
609864,0,2016,31,26,115949.857487302,11.3853014266215
609864,0,2017,43,40,109869.032667599,11.3703854051541
609864,0,2018,38,36,175131.074735401,11.8478028557183
609869,0,2008,7,7,47710.8508913596,10.5782939063343
609869,0,2009,7,7,132624.791720553,10.7839777180013
609869,0,2010,9,9,104446.502976278,11.1703229741371
609869,0,2011,3,3,121743.003992568,11.2750900192366
609869,0,2012,7,7,30646.7190332526,10.0407970545337
609869,0,2013,4,4,39437.9119891791,10.3040120370898
609869,0,2014,5,5,19255.5553436098,9.81957407905186
609869,0,2015,2,1,22834.9474710985,10.0019387168473
609869,0,2016,3,3,32018.2977524876,10.356821889419
609869,0,2017,6,6,44502.9432442958,10.4949720163603
609869,0,2018,7,6,85678.2275834592,11.1825610655616
609873,0,2008,16,15,117368.87944515,11.2739219409312
609873,0,2009,11,10,77095.7364718448,11.0570258698131
609873,0,2010,13,12,81455.4896980931,10.9098816441992
609873,0,2011,11,11,64200.0905371614,10.8680799225566
609873,0,2012,18,18,71688.2111743158,10.9049519258481
609873,0,2013,14,13,74026.8641900235,10.9608277705859
609873,0,2014,16,16,76407.8917162735,11.1058608036656
609873,0,2015,6,6,68189.2151826838,11.0868851752491
609873,0,2016,15,14,109908.920014337,11.4042584256751
