school_id,printed_name,source_roster_name,network
610156,"ARMSTRONG, L","ARMSTRONG, L",Austin-North Lawndale
609851,CHALMERS,CHALMERS,Austin-North Lawndale
609873,CROWN,CROWN COMM ACAD,Austin-North Lawndale
610367,DE PRIEST,DE PRIEST,Austin-North Lawndale
609906,EMMET,EMMET,Austin-North Lawndale
610240,HENSON,HENSON,Austin-North Lawndale
609991,HERZL,HERZL,Austin-North Lawndale
610005,"HUGHES, C",HUGHES C E,Austin-North Lawndale
610020,KEY,KEY,Austin-North Lawndale
610034,LAWNDALE,LAWNDALE,Austin-North Lawndale
610036,LEWIS,LEWIS,Austin-North Lawndale
610056,MASON,MASON,Austin-North Lawndale
610058,MAY,MAY,Austin-North Lawndale
610282,MCNAIR,MCNAIR,Austin-North Lawndale
610123,PENN,PENN,Austin-North Lawndale
610134,POPE,POPE,Austin-North Lawndale
609781,ATTUCKS,ATTUCKS,Burnham Park
609819,BURKE,BURKE,Burnham Park
610018,CANTER,CANTER,Burnham Park
609844,CARTER,CARTER,Burnham Park
609894,DRAKE,DRAKE,Burnham Park
610266,DUMAS TECH ACAD,DUMAS,Burnham Park
609916,FERMI,FERMI,Burnham Park
609919,FISKE,FISKE,Burnham Park
609928,FULLER,FULLER,Burnham Park
610030,KOZMINSKI,KOZMINSKI,Burnham Park
610061,MAYO,MAYO,Burnham Park
610276,MOLLISON,MOLLISON,Burnham Park
610277,OVERTON,OVERTON,Burnham Park
610395,PERSHING MIDDLE,PERSHING MIDDLE,Burnham Park
610143,REAVIS,REAVIS,Burnham Park
610256,ROBINSON,ROBINSON,Burnham Park
610150,ROSS,ROSS,Burnham Park
610169,SEXTON,SEXTON A O,Burnham Park
610065,TILL,TILL,Burnham Park
610213,WADSWORTH,WADSWORTH,Burnham Park
610110,"WELLS, I","WELLS, I",Burnham Park
610336,WILLIAMS MIDDLE,WILIAMS MIDDLE,Burnham Park
610232,WILLIAMS ES,WILLIAMS ES,Burnham Park
610345,WOODSON,WOODSON SOUTH,Burnham Park
609775,ALTGELD,ALTGELD,Englewood-Gresham
610265,BANNEKER,BANNEKER,Englewood-Gresham
610161,BONTEMPS,BONTEMPS,Englewood-Gresham
609864,COOK,COOK,Englewood-Gresham
610521,"DAVIS, M","DAVIS, M",Englewood-Gresham
609897,EARLE,EARLE,Englewood-Gresham
609913,GOODLOW,GOODLOW MAGNET,Englewood-Gresham
609955,GRESHAM,GRESHAM,Englewood-Gresham
609986,HENDERSON,HENDERSON,Englewood-Gresham
610299,HINTON,HINTON,Englewood-Gresham
609997,HOLMES,HOLMES,Englewood-Gresham
610369,"JACKSON, M",JACKSON M,Englewood-Gresham
609869,LANGFORD,LANGFORD,Englewood-Gresham
610290,MAYS,MAYS,Englewood-Gresham
610072,MORGAN,MORGAN,Englewood-Gresham
610108,O'TOOLE,O'TOOLE,Englewood-Gresham
610153,RYDER,RYDER,Englewood-Gresham
610339,STAGG,STAGG,Englewood-Gresham
610285,WOODS,WOODS ACADEMY,Englewood-Gresham
609809,BRENTANO,BRENTANO,Fullerton
610012,JENNER,JENNER,Fullerton
610048,MANIERRE,MANIERRE,Fullerton
609812,"BROWN, W","BROWN, W",Fulton
610252,DETT,DETT,Fulton
610320,DUPREY,DUPREY,Fulton
609989,HERBERT,HERBERT,Fulton
610023,KING,KING,Fulton
610031,LAFAYETTE,LAFAYETTE,Fulton
610029,LOZANO,LOZANO BILINGUAL,Fulton
610075,MONTEFIORE,MONTEFIORE,Fulton
610085,NEAR NORTH,NEAR NORTH,Fulton
610119,PEABODY,PEABODY,Fulton
610180,SMYTH,SMYTH,Fulton
610210,VON HUMBOLDT,VON HUMBOLDT,Fulton
609797,BEIDLER,BEIDLER,Garfield-Humboldt
610365,BETHUNE,BETHUNE,Garfield-Humboldt
610243,CALHOUN,CALHOUN NORTH,Garfield-Humboldt
609881,DELANO,DELANO,Garfield-Humboldt
609907,ERICSON,ERICSON,Garfield-Humboldt
400095,GARFIELD PARK,GARFIELD PARK,Garfield-Humboldt
610348,GOLDBLATT,GOLDBLATT,Garfield-Humboldt
610241,MARCONI,MARCONI,Garfield-Humboldt
610293,MELODY,MELODY,Garfield-Humboldt
610106,PICCOLO,PICCOLO,Garfield-Humboldt
610154,RYERSON,RYERSON,Garfield-Humboldt
610202,TILTON,TILTON,Garfield-Humboldt
610133,"WARD, L",WARD LAURA,Garfield-Humboldt
610221,WEBSTER,WEBSTER,Garfield-Humboldt
