"SCHOOL_NM","the_geom","UNIT_ID","SCHOOL_ID","SCHOOL_ADD","GRADE_CAT","BOUNDARYGR","SCH_TYPE","BRD_RPT","Shape_Leng","Shape_Area"
"COLUMBIA EXPLORERS","MULTIPOLYGON (((-87.70293537296159 41.813820981050625, -87.70292654503785 41.81359713566641, -87.70280248485066 41.81359889830868, -87.70260450811658 41.81360258688911, -87.70244571735861 41.81360530909091, -87.7023178191692 41.813607439082574, -87.70228582596302 41.81360797190592, -87.70220555260951 41.81360914972035, -87.70196627280605 41.81361258235031, -87.70171013403659 41.813616406171306, -87.70157935876409 41.81361835835753, -87.70142262544466 41.813620761831665, -87.70127077059071 41.81362321984645, -87.70117549363754 41.81362434229431, -87.70110093102343 41.813625260850934, -87.70087990323664 41.81362798405802, -87.70074397353561 41.813630034763385, -87.70049543276107 41.81363369603865, -87.70031281273418 41.81363638664892, -87.70010456659098 41.81363979464095, -87.69995392071036 41.81364242144324, -87.6998901913238 41.81364353309928, -87.6997221168337 41.813646466844396, -87.69958574565216 41.81364873342969, -87.69937826737122 41.81365225328377, -87.69927824370218 41.81365349922001, -87.69908660268801 41.813655885087165, -87.69891101708524 41.81365796135403, -87.69868711168459 41.813661033592346, -87.6986654129005 41.813661354878235, -87.6985752486291 41.813662692491086, -87.69832803937985 41.81366664994864, -87.6980535177301 41.81367048463843, -87.69791981134671 41.813672351621854, -87.69779811539783 41.81367439654387, -87.69772216721115 41.813675704096966, -87.69743603165799 41.81368038960485, -87.6973088304689 41.81368247195891, -87.69699565572594 41.81368751625121, -87.69682423605462 41.81369024715373, -87.69638353970556 41.81369726793773, -87.69620853245117 41.81370047232134, -87.69612583168629 41.81370198626102, -87.69576477364468 41.81370816071354, -87.69559857022334 41.81371012822971, -87.69530071531682 41.813713652126424, -87.69501674640016 41.81371802941841, -87.69498375560303 41.81371853935809, -87.69467312116038 41.81372333753484, -87.6944750664178 41.81372728537484, -87.69437117096278 41.81373578665057, -87.69436731173168 41.81362942911024, -87.69436116690954 41.81341350221769, -87.69435526152002 41.813210420171075, -87.69434584146695 41.81292177971318, -87.6943394407332 41.81273875563943, -87.69432942023316 41.812451812582026, -87.69432136269732 41.812122125402674, -87.6943148285828 41.81191318121928, -87.6943121491725 41.811827503196184, -87.69429831536031 41.81141836376597, -87.69428662612857 41.81103333146751, -87.6942755352297 41.81062492031747, -87.69426735191179 41.81033008407719, -87.69425922296803 41.81008257245537, -87.6942563414926 41.80999483687468, -87.6942489803896 41.80971693720695, -87.69424062067046 41.80939918596225, -87.69423342058755 41.809127132250765, -87.69422684053984 41.808877696135795, -87.69422023720784 41.80873158076341, -87.69421514520472 41.80861889939297, -87.69420817076995 41.808397891502, -87.6942050105253 41.808280826250446, -87.69419661768124 41.807969829187435, -87.6941945948439 41.80789391098089, -87.6941899647674 41.8077201171075, -87.69418078694537 41.80741473744981, -87.69417293719982 41.80717127613932, -87.69416974407278 41.8070496593947, -87.69416562390494 41.806892252056905, -87.69415998875357 41.8066768490448, -87.69415581892954 41.80648533694472, -87.69415427232074 41.80641429948127, -87.69414629432941 41.80615409714725, -87.69413999690393 41.80592785106963, -87.69413859686718 41.80587693640868, -87.6941287184349 41.805593534876714, -87.69412199626244 41.80539574387924, -87.6940997962942 41.80455916417289, -87.69409816575028 41.804510258706024, -87.69409695803857 41.80447401816224, -87.69409536739899 41.804426304084245, -87.69408703772648 41.804176340320964, -87.69421459623332 41.80426767336469, -87.69449206738274 41.804262710837776, -87.69494758721066 41.804254562310106, -87.6955399583036 41.8042439630158, -87.69602320153408 41.80423531498825, -87.69671847889417 41.80422286753972, -87.69733235080962 41.80421187395586, -87.69786162675719 41.80420239262161, -87.69842520473337 41.8041922944259, -87.69893670530918 41.80418312675467, -87.69950127874831 41.80417088863569, -87.70009824847018 41.80415774680523, -87.70074847681272 41.80414342849266, -87.7013069035859 41.80413112874154, -87.70203020492833 41.80411519380221, -87.70265075087028 41.80410151821281, -87.70318580699421 41.80408972206494, -87.70379470076496 41.804076279794316, -87.70385021871613 41.804075046230615, -87.70385976462413 41.804109477644715, -87.70398569078485 41.804563666741444, -87.70416107451793 41.804561098083155, -87.70446707743403 41.804556617065636, -87.70480608053417 41.80455165043618, -87.70512156222365 41.80454702776215, -87.70539904189559 41.804542961797225, -87.70567703544316 41.804538887165464, -87.70599604932443 41.804534211161304, -87.70631187634471 41.80452957449862, -87.70667544173901 41.80452422951998, -87.70699488521717 41.804519538679365, -87.70728201446829 41.80451532270069, -87.70753725918402 41.80451157246258, -87.7077732886663 41.804508105071854, -87.70807334351562 41.80450369639987, -87.70835090562919 41.804499654364186, -87.70861235978711 41.804495867993346, -87.7088580407483 41.80449231400729, -87.70913862564086 41.80448826219082, -87.70941585393544 41.80448425808426, -87.70970357916427 41.80448010141316, -87.7099686460066 41.80447627124381, -87.71014418178768 41.80447373569059, -87.71033867757087 41.804470923647806, -87.7105494555238 41.8044678772236, -87.7107792800981 41.80446455548835, -87.71098971863553 41.80446151271923, -87.71121440672364 41.80445825412159, -87.71143005393783 41.80445514061556, -87.71170510147714 41.8044511407856, -87.71191479645611 41.80444807879249, -87.71213497099531 41.804444919126595, -87.71234675885819 41.80444182354512, -87.71246192089716 41.80444239111244, -87.71248565202389 41.80445371617244, -87.71257165080551 41.80449671724563, -87.7126480570278 41.8045376901475, -87.71273012852943 41.804584786299216, -87.71280997802982 41.80463395650894, -87.71296935305251 41.804743216302526, -87.71306110079226 41.80481380068013, -87.71314252809574 41.804881969438036, -87.7132432302228 41.80497477592417, -87.71333729506357 41.805071443229096, -87.71341942588693 41.8051656862273, -87.71350868535808 41.80528142756012, -87.7135560713015 41.80535018033932, -87.71361559447536 41.80544589304108, -87.71378108591138 41.804501960809695, -87.7137768104454 41.80494574643494, -87.71377065663182 41.80558448357516, -87.71387381547903 41.80798866851149, -87.71351721615271 41.80799620046676, -87.712763180473 41.80800870493355, -87.71238269303853 41.808013283506796, -87.71206911884138 41.80801705586964, -87.71132477735549 41.808032163026, -87.71112971220367 41.808036120688, -87.71098608761447 41.80803473401665, -87.71074186087615 41.80803237339032, -87.71004690142307 41.80804254486095, -87.7097061814223 41.80804660735224, -87.70943006024159 41.808049899667076, -87.70890103153594 41.80805684438737, -87.70888892738495 41.80805700277767, -87.7086059042913 41.80806107131203, -87.70842071818436 41.80806373297197, -87.70797869877394 41.808070438171086, -87.70765888878137 41.80807401058527, -87.70755767887584 41.8080751411384, -87.707574328884 41.8085307213719, -87.70759776925348 41.80917211378844, -87.7076219003997 41.8098961523809, -87.70769832023147 41.809894995703914, -87.70771887816254 41.81034919160881, -87.70775422100756 41.81125593032743, -87.70775435610342 41.81131996774406, -87.70775436404854 41.81132409860521, -87.70778291615149 41.81138298139594, -87.70785519013599 41.81144978766638, -87.70788958470827 41.81148125859427, -87.70813360725906 41.81170149241231, -87.70790954539173 41.8118389197931, -87.70752257409156 41.81207798246051, -87.70728457608502 41.81222501147394, -87.70698116411808 41.81241107374409, -87.70691230553345 41.81245320119536, -87.70671841865204 41.8125718194514, -87.70662220714165 41.81263144982293, -87.70633820893605 41.81280487540661, -87.70632569178638 41.812812983183264, -87.70539350467693 41.8133853635941, -87.70512712406325 41.81354892276127, -87.70473704916236 41.81378842805497, -87.70421115432458 41.814113089920525, -87.70395940031426 41.814268508043604, -87.7037299054305 41.81440770262319, -87.70348597694993 41.81455573648572, -87.7033547637144 41.81463645558698, -87.70310174714704 41.81440683744309, -87.70305171530606 41.81436144718964, -87.7029914675666 41.8143067794491, -87.7029768879765 41.814293417449086, -87.70297499718696 41.81429170540771, -87.702964688261 41.814280616821705, -87.70295673769505 41.81426626929752, -87.70295387465818 41.81426110087078, -87.70295103518986 41.81424763762961, -87.70294982079525 41.81424052358583, -87.70294446364015 41.81408357632139, -87.70294352324494 41.81405637512474, -87.70293971907175 41.81394639154216, -87.70293537296159 41.813820981050625)))","5860","610170","4520 S KEDZIE AV","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative","01-1024-EX2","18,298.7704045","14,548,340.1399"
"SHERMAN","MULTIPOLYGON (((-87.64585308353865 41.796033372232635, -87.64607029354099 41.7960304834829, -87.64659808639169 41.79602387012944, -87.64707677565968 41.79601721042001, -87.64751702494554 41.79601108273332, -87.6476608434466 41.79600944546628, -87.64781587087543 41.79600768043202, -87.64810717777294 41.79600291426575, -87.64824633809971 41.79600066054888, -87.64853819436148 41.7959959343805, -87.64900184561478 41.795989420998644, -87.64947542053531 41.795983362777505, -87.64948195826962 41.795983279248325, -87.65006388592445 41.79597645091222, -87.65006518173601 41.796055631233884, -87.65061966570639 41.79604833522984, -87.65067545813669 41.79604754405171, -87.65106706766765 41.79604199154852, -87.6512857405501 41.79604023787074, -87.65153109249518 41.796038270276625, -87.65189175258384 41.79603397093507, -87.65203522531047 41.79603225951356, -87.65213136187641 41.79603062646607, -87.65234131504639 41.796027076886695, -87.65249942470668 41.79602431090451, -87.65270341629494 41.79602074333777, -87.65304202163898 41.79601682111097, -87.65309888983697 41.79601601261738, -87.65331325806413 41.79601296549269, -87.65353226438317 41.79600981666412, -87.65370965587606 41.796006154721645, -87.65385571585574 41.79600314001514, -87.65414943471264 41.79599916960392, -87.65431069209666 41.79599705358772, -87.65442055716339 41.79599561231537, -87.65491148781386 41.79598997818633, -87.65491544213705 41.79612578841715, -87.65492155250494 41.79636702030912, -87.65492823433428 41.796630621255424, -87.6549352522142 41.79691096265147, -87.65494150136426 41.79715296423166, -87.65494733724599 41.79737163519596, -87.6549543333424 41.79766808645512, -87.65495783836313 41.79781023338233, -87.65496083187952 41.7979316304365, -87.65496612760187 41.79811105626888, -87.65497274478619 41.798335632727216, -87.65497940169999 41.7985877062083, -87.65498413650623 41.79879168945081, -87.65498560705328 41.79885476249527, -87.65499080028007 41.79907175584169, -87.6549963196217 41.79924390990315, -87.65500151589127 41.79938406349118, -87.655007675907 41.799537230171985, -87.65501191899139 41.79961944848757, -87.6550162628027 41.79970364007086, -87.65502131822579 41.799926753172684, -87.65502667456116 41.8001630942325, -87.65503174051914 41.80039913284996, -87.65503803765111 41.800692313341834, -87.6550452653196 41.800959787027274, -87.6550466166817 41.80100667189428, -87.65505259498882 41.801214170167775, -87.65505899117503 41.80145210283567, -87.65506160334765 41.80154932758156, -87.65506516816136 41.801764335835074, -87.65506984388797 41.80189967840103, -87.65507112532661 41.80193676610613, -87.6550763724835 41.80214868346261, -87.65508460167302 41.802467260722935, -87.65509282210563 41.802779828058036, -87.6550992157119 41.803098696063365, -87.6551053137122 41.80327227867611, -87.65510863725984 41.80336686865668, -87.65511544996939 41.8036285477961, -87.65512260727778 41.80390285370376, -87.6551278122049 41.80409438044998, -87.65513021421832 41.804179028683784, -87.65513433689621 41.80432438975151, -87.65513978794687 41.80457953055, -87.65514767511344 41.8047646752033, -87.65514991099272 41.80481715645013, -87.65515037206849 41.80482797780877, -87.65515110778891 41.80490586625092, -87.65515188003471 41.80498759401093, -87.65515435050048 41.80509257079499, -87.65494559991843 41.805095680591265, -87.6546220577672 41.80509966944095, -87.65454017692507 41.805101078168065, -87.65430737642009 41.805105081894204, -87.65404516192174 41.80510880047149, -87.65401652175046 41.805111814753005, -87.65399207686441 41.80512037029762, -87.65397287921914 41.805132166626294, -87.65395492390975 41.80515143422138, -87.65394628086621 41.80523703273657, -87.6539435031738 41.80537488818333, -87.65394603844256 41.805471722579156, -87.65394957198099 41.80558853899675, -87.65395129035599 41.80564628876082, -87.6539538851466 41.80573236519306, -87.65395853610707 41.80587531463952, -87.6539620745349 41.805977889303826, -87.65396637129945 41.806102313700286, -87.65397025071968 41.80621430266036, -87.65397413010797 41.806326181774985, -87.65397655727486 41.80645056809615, -87.65397658736747 41.80659351720677, -87.65397595306506 41.806677817940255, -87.65397435916893 41.806752370285686, -87.6539746067339 41.80692781258618, -87.65277594408033 41.80694299566363, -87.6526326122808 41.80694569289041, -87.65244649146908 41.80694683981231, -87.6521532520531 41.80694932754934, -87.65201569339952 41.80695049432868, -87.65165488526281 41.80695356139828, -87.65134454335075 41.80695707101857, -87.65103037148633 41.80696190037696, -87.65034290515543 41.80697227732506, -87.6503465430736 41.80709848150539, -87.65034980283176 41.80724748755245, -87.65035367956152 41.80742813923716, -87.65035372643737 41.8074306370925, -87.65035759270218 41.807608763221715, -87.65036128865084 41.80777879326777, -87.6503657330704 41.80788005617237, -87.65037386912495 41.808065425795135, -87.65037992067387 41.8081932622334, -87.65038409384117 41.80833785655564, -87.65038670467685 41.80842832323287, -87.65039725925071 41.80879524516378, -87.65006019910967 41.80879927401547, -87.64960574793476 41.80880469292494, -87.64912326785723 41.808810574236105, -87.64859823139474 41.80881724246015, -87.64810332164313 41.80882611919458, -87.64802601875924 41.80882705448424, -87.6474043279737 41.80883457123773, -87.64687181779325 41.80884711575765, -87.64623004792229 41.80886215825065, -87.64568385481414 41.80886791859992, -87.6455379408281 41.80886374433259, -87.64553144053126 41.80868357923782, -87.6455179627815 41.80848958797212, -87.64551519524397 41.808377961089214, -87.64550736077952 41.807948920829624, -87.6455025660959 41.8076863828169, -87.64549662539636 41.80747372012981, -87.64548873028757 41.80717624787944, -87.64548612401795 41.80703953992972, -87.64548123548703 41.806783084992205, -87.64547358510576 41.806517530753034, -87.64546528971874 41.806230044562305, -87.64546273380228 41.80612980835714, -87.64545472138711 41.805815650906744, -87.64545001657211 41.805595695493956, -87.64544841374902 41.80552065774165, -87.64544442990355 41.80533770030988, -87.64544055027454 41.80521756017686, -87.64543757663077 41.805125444430956, -87.64543428404133 41.80502343550276, -87.64543007204541 41.804892971733175, -87.64542401546697 41.80470535064823, -87.64541905062342 41.80442545987529, -87.64541554171248 41.80431341791197, -87.64541024712804 41.80414433782768, -87.64540302248585 41.80379110608367, -87.64539855402666 41.80357112499747, -87.64539286911281 41.80340434475498, -87.64538794508866 41.8032599149157, -87.64538042851356 41.802920264989154, -87.64537474558814 41.802700661946986, -87.6453684197026 41.80249515997155, -87.64536404845263 41.802353170674245, -87.64535539592937 41.80203063860056, -87.64534674434758 41.80170802458196, -87.64534450309743 41.801584359398205, -87.64533977963417 41.80132367354524, -87.64532820462601 41.80090394881385, -87.64532204203289 41.800670044314415, -87.64531586671266 41.800435645435236, -87.64530746524323 41.80009991467907, -87.64529739981802 41.79976912677954, -87.64529150987468 41.799575551585534, -87.64528234649302 41.799228839108096, -87.64527487614836 41.798881449780545, -87.64527158719648 41.79873392520001, -87.645263314401 41.79841262957875, -87.64525371382719 41.79805878001098, -87.64525052995019 41.79794215616835, -87.64524780317679 41.7978423032439, -87.6452435684745 41.79768725321927, -87.64522997591197 41.7971272275443, -87.64522615735545 41.79692810768479, -87.64522192467822 41.7967074146657, -87.64520974880436 41.79629943110584, -87.64520472733015 41.796126950880286, -87.6452022548555 41.79604202731188, -87.64585308353865 41.796033372232635)))","5890","610172","1000 W 52ND ST","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative","86-0806-ED10","14,628.0803807","11,239,210.8676"
