SCHOOL_NM,SCHOOL_ID,SCHOOL_ADD,FEB2013_CANDIDATE_129,MAR2013_CANDIDATE_54,MAY2013_CLOSED_47,MAY2013_WELCOMING_18,CONSORTIUM_TREAT_47,CONSORTIUM_CONTROL_49,HOUSING_TREAT_30,HOUSING_CONTROL_49,NOTES,WELCOMING_SCHOOL_NM1,WELCOMING_SCHOOL_ID1,WELCOMING_SCHOOL_ADD1_SY1314,WELCOMING_SCHOOL_X_COORDINATE1_SY1314,WELCOMING_SCHOOL_Y_COORDINATE1_SY1314,WELCOMING_SCHOOL_LATITUDE1_SY1314,WELCOMING_SCHOOL_LONGITUDE1_SY1314,WELCOMING_SCHOOL_NM2,WELCOMING_SCHOOL_ID2,WELCOMING_SCHOOL_ADD2_SY1314,WELCOMING_SCHOOL_X_COORDINATE2_SY1314,WELCOMING_SCHOOL_Y_COORDINATE2_SY1314,WELCOMING_SCHOOL_LATITUDE2_SY1314,WELCOMING_SCHOOL_LONGITUDE2_SY1314,WELCOMING_SCHOOL_NM3,WELCOMING_SCHOOL_ID3,WELCOMING_SCHOOL_ADD3_SY1314,WELCOMING_SCHOOL_X_COORDINATE3_SY1314,WELCOMING_SCHOOL_Y_COORDINATE3_SY1314,WELCOMING_SCHOOL_LATITUDE3_SY1314,WELCOMING_SCHOOL_LONGITUDE3_SY1314
ALDRIDGE,609848,630 E 131st St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
ALTGELD,609775,1340 W 71st St,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Wentworth,610223,1340 W 71st St,1168430.269,1857717.233,41.76510322,-87.6582125,,,,,,,,,,,,,,
"ARMSTRONG, L",610156,5345 W Congress Pkwy,1,1,1,0,1,0,1,0,Closed,Leland,610305,512 S Lavergne Ave,1143308.514,1897064.832,41.87358321,-87.74931216,,,,,,,,,,,,,,
ASHE,610268,8505 S Ingleside Ave,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
ATTUCKS,609781,5055 S State St,1,1,0,0,0,0,0,0,"Approved for phase-out; closure effective June 30, 2015",,,,,,,,,,,,,,,,,,,,,
BANNEKER,610265,6656 S Normal Blvd,1,1,1,0,1,0,0,0,Closed; designated welcoming school relocated into the building for SY2013-14. Site remained in active school use; exclude from main housing treatment,Mays,610290,6656 S Normal Blvd,1174114.357,1860550.724,41.77275433,-87.63729464,,,,,,,,,,,,,,
BEIDLER,609797,3151 W Walnut St,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
BETHUNE,610365,3030 W Arthington St,1,1,1,0,1,0,1,0,Closed,Gregory,609954,3715 W Polk St,1151660.565,1896077.812,41.87071468,-87.71867323,,,,,,,,,,,,,,
BONTEMPS,610161,1241 W 58th St,1,1,1,0,1,0,1,0,Closed,Nicholson,609793,6006 S Peoria St,1171298.247,1864964.268,41.7849277,-87.64748868,,,,,,,,,,,,,,
BRENNEMANN,610242,4251 N Clarendon Ave,1,0,0,1,0,0,0,0,Designated welcoming school,,,,,,,,,,,,,,,,,,,,,
